path	size	mode	count	status	crc_ok	resolved_entries
MLG\disc0_rel\ADEMOHQ\0058cb96.pdt	245336064	0x100	4	ok	4/4	
MLG\disc0_rel\ADEMOHQ\0058ceb6.pdt	433756160	0x100	16	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058ced6.pdt	547158016	0x100	17	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cef6.pdt	444241920	0x100	13	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cf16.pdt	73228288	0x100	3	ok	3/3	
MLG\disc0_rel\ADEMOHQ\0058cf96.pdt	280053760	0x100	10	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cfb6.pdt	341131264	0x100	9	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cfd6.pdt	292059136	0x100	16	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058d2b6.pdt	154898432	0x100	11	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058d2bb.pdt	172908544	0x100	12	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058d336.pdt	314832896	0x100	9	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058d376.pdt	124141568	0x100	12	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058d3b6.pdt	60198912	0x100	2	ok	2/2	
MLG\disc0_rel\ADEMOHQ\0058d3d6.pdt	353476608	0x100	8	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058d6b6.pdt	105680896	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMOHQ\0058d6d6.pdt	155944960	0x100	5	ok	5/5	
MLG\disc0_rel\ADEMOHQ\0058d756.pdt	129964032	0x100	4	ok	4/4	
MLG\disc0_rel\ADEMOHQ\0058dab6.pdt	120313856	0x100	5	ok	5/5	
MLG\disc0_rel\ADEMOHQ\0058dad6.pdt	41838592	0x100	2	ok	2/2	
ms0\EU\DLCBGM\e41b91fb.PDT	5091328	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x4c6800, ZAPPIN@0x4c8000+0x13000
ms0\EU\DLCBGM\e41b91fc.PDT	2732032	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x289000, ZAPPIN@0x28a800+0x10800
ms0\EU\DLCBGM\e41b91fd.PDT	2811904	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x29a000, ZAPPIN@0x29b800+0x13000
ms0\EU\DLCBGM\e41b91fe.PDT	5574656	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x53b800, ZAPPIN@0x53d000+0x14000
ms0\EU\DLCBGM\e41b91ff.PDT	2916352	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x2b4000, ZAPPIN@0x2b5800+0x12800
ms0\EU\DLCBGM\e41b9200.PDT	4704256	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x468000, ZAPPIN@0x469800+0x13000
ms0\EU\DLCBGM\e41b9201.PDT	4896768	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x498000, ZAPPIN@0x499800+0x12000
ms0\EU\DLCBGM\e41b9202.PDT	3860480	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x399800, ZAPPIN@0x39b000+0x13800
ms0\EU\DLCBGM\f01b9213.PDT	3958784	0x100	4	ok	4/4	DBMINFO@0x1000+0xd4, MUSIC@0x1800+0x3b1800, ZAPPIN@0x3b3000+0x13800
